NO3,Th,Ca,Mg,Cl,TDS,F,pH,Cr,Fe
12,952,198,116,302,1460,2.83,7.7,0,1.1
56,601,108,79,204,924,1.36,6.1,0.02,1
25,394,86,44,196,720,0.75,7.5,0,0
14,170,42,12,49,360,2.12,7.9,0,0
60,618,130,66,316,1310,1.32,7.9,0,0.22
66,712,120,100,456,1356,0.55,8,0,0.1
308,1088,188,136,515,2012,0.68,8,0,0.16
76,626,126,74,252,844,0.4,7.78,0,0.1
50,534,116,55,406,860,0.6,5.1,0,0
36,402,96,37,212,700,2.1,6.2,0.02,0
8,282,76,22,135,422,1.2,6.36,0,0
122,2812,490,392,2142,3666,5.76,6.1,2.68,0
90,2886,552,352,1564,3180,6.02,7.1,0,0.03
33,440,76,57,388,788,0.5,7.09,0,0
25,1144,189,140,514,850,0.4,7.1,0,0.32
12,998,211,108,428,1545,0.4,7.2,0,0.2
15,390,108,26,208,630,1.1,7.8,0,0.03
38,332,82,29,160,622,0.2,7.22,0,0.11
50,346,112,14,72,522,1.3,7.72,0,1.33
12,332,64,42,118,565,0.36,7.5,0,0.05
15,480,102,50,362,822,1.2,8.11,0,0.7
16,564,148,49,290,800,1.9,7.87,0,0
74,255,84,14,208,576,0.8,6.88,0,0.28
24,1288,306,124,314,2020,0.32,7.01,0,0.52
50,1216,242,146,732,2410,0.9,7.58,0,0.2
58,398,108,32,154,660,1.22,8.2,0,0
8,99,18,10,80,232,2.26,7.01,0,0.29
14,518,122,44,136,650,1.2,6.51,0,0.1
20,464,88,54,210,716,1.28,6.94,0.16,0
8,88,21,6,52,210,1,7.1,0.03,0
20,1094.08,212,124,342,1550,2.94,7.72,0,1.24
77,633.304,134,65,238,980,1.42,6.08,0,1.15
35,435.528,90,46,222,800,0.72,7.43,0,0
17,231.44,52,22,60,440,2.2,8,0,0
84,715.36,144,78,390,1510,1.25,7.91,0,0.25
108,835.288,127,116,580,1540,0.65,7.98,0,0.22
332,1260.296,225,155,700,2230,0.78,7.94,0,0.2
101,756.388,122,101,300,940,0.4,7.8,0,0.2
56,555.456,116,58,422,860,0.6,5.1,0,0
58,475.504,112,42,264,790,2,6.19,0,0
10,307.184,81,22,154,460,1.38,6.4,0,0
157,3082.36,512,402,2108,3940,5.9,6.1,3,0
120,3109.712,582,366,1824,3530,6.09,7.12,0,0.1
32,536.52,66,84,456,890,0.63,7.1,0,0
32,1245.568,224,152,618,2010,0.44,7.02,0,0.38
18,1073.04,218,116,488,1650,0.39,7.22,0,0.4
22,439.736,118,30,260,770,1.52,7.84,0,0.1
34,296.664,72,25,118,510,0.24,7.25,0,0.16
51,399.76,128,15,86,610,1.38,7.7,0,1.49
25,458.672,86,54,180,760,0.38,7.51,0,0.05
15,515.48,104,56,374,850,1.4,8.22,0,0.81
19,648.032,148,60,332,860,1.8,8,0,0
94,296.664,75,23,254,730,0.76,6.86,0,0.43
32,1543.284,344,148,386,2170,0.44,7.02,0,0.52
54,1426.512,275,163,876,2660,1,7.57,0,0.24
72,420.8,106,33,180,780,1.3,8.24,0,0
12,111.512,21,13,98,290,2.36,7.01,0,0.5
21,517.584,125,44,172,600,1.44,6.55,0,0.14
30,499.7,98,56,244,790,1.41,6.9,0,0
12,126.24,35,8,70,280,1.3,7.1,0,0.08
14,980,202,116,318,1480,2.86,7.7,0,1.12
60,612,115,79,212,940,1.38,6.08,0.02,1.02
28,402,89,44,200,770,0.75,7.4,0,0
14,176,44,16,49,390,2.2,8,0,0
64,656,138,76,334,1350,1.32,8,0,0.22
77,744,125,105,494,1390,0.5,7.96,0,0.12
312,1126,204,150,567,2030,0.7,7.94,0,0.16
80,668,136,80,265,860,0.4,7.8,0,0.1
53,558,125,60,432,880,0.6,5.13,0,0
40,415,102,39,222,720,2.1,6.16,0.02,0
8,288,76,24,140,440,1.3,6.41,0,0
131,2900,502,401,2026,3780,5.79,6.12,2.71,0
100,2982,576,376,1634,3310,6.08,7.1,0,0.04
36,442,78,60,412,840,0.5,7.09,0,0
29,1142,209,151,561,1870,0.4,7,0,0.33
15,1002,217,112,442,1570,0.4,7.2,0,0.22
16,396,116,26,212,660,1.3,7.81,0,0.03
41,356,90,32,164,660,0.2,7.22,0,0.11
52,366,122,15,75,580,1.4,7.72,0,1.36
14,355,68,45,128,610,0.36,7.47,0,0.05
16,505,112,55,386,880,1.2,8.11,0,0.7
20,602,157,51,304,850,1.92,7.91,0,0
78,277,88,14,232,630,0.8,6.9,0,0.32
26,1354,322,134,344,2060,0.32,7,0,0.55
50,1284,258,156,788,2500,0.9,7.57,0,0.2
60,410,112,32,166,750,1.24,8.25,0,0
8,104,25,10,86,260,2.28,7.03,0,0.34
14,542,135,50,144,690,1.2,6.51,0,0.1
22,482,98,58,222,770,1.4,6.92,0.18,0
8,92,25,7,55,230,1,7.12,0.03,0.1
20,1040,212,124,342,1550,2.94,7.72,0,1.24
77,602,134,65,238,980,1.42,6.08,0.02,1.15
35,414,90,46,222,800,0.72,7.43,0,0
17,220,52,22,60,440,2.2,8,0,0
84,680,144,78,390,1510,1.25,7.91,0,0.25
108,794,127,116,580,1540,0.65,7.98,0,0.22
332,1198,225,155,700,2230,0.78,7.94,0,0.2
101,719,122,101,300,940,0.4,7.8,0,0.2
56,528,116,58,422,860,0.6,5.1,0,0
58,452,112,42,264,790,2,6.19,0.02,0
10,292,81,22,154,460,1.38,6.4,0,0
157,2930,512,402,2108,3940,5.9,6.1,2.84,0
120,2956,582,366,1824,3530,6.09,7.12,0,0.1
32,510,66,84,456,890,0.63,7.1,0,0
32,1184,224,152,618,2010,0.44,7.02,0,0.38
18,1020,218,116,488,1650,0.39,7.22,0,0.4
22,418,118,30,260,770,1.52,7.84,0,0.1
34,282,72,25,118,510,0.24,7.25,0,0.16
51,380,128,15,86,610,1.38,7.7,0,1.49
25,436,86,54,180,760,0.38,7.51,0,0.05
15,490,104,56,374,850,1.4,8.22,0,0.81
19,616,148,60,332,860,1.8,8,0,0
94,282,75,23,254,730,0.76,6.86,0,0.43
32,1467,344,148,386,2170,0.44,7.02,0,0.52
54,1356,275,163,876,2660,1,7.57,0,0.24
72,400,106,33,180,780,1.3,8.24,0,0
12,106,21,13,98,290,2.36,7.01,0,0.5
21,492,125,44,172,600,1.44,6.55,0,0.14
30,475,98,56,244,790,1.41,6.9,0.21,0
12,120,35,8,70,280,1.3,7.1,0.03,0.08
17,1030,208,124,330,1530,2.9,7.72,0,1.14
64,607,128,70,220,976,1.4,6.05,0.02,1.02
34,456,102,49,208,840,0.8,7.41,0,0
10,139,36,12,40,342,2.1,8.1,0,0
68,695,145,81,350,1442,1.3,7.9,0,0.24
82,772,130,109,504,1468,0.6,7.94,0,0.14
319,1155,214,151,598,2110,0.76,7.96,0,0.18
83,716,142,88,274,902,0.38,7.78,0,0.14
58,596,131,66,440,919,0.61,5.12,0,0
42,378,92,36,210,670,2,6.14,0.02,0
11,319,80,29,150,484,1.4,6.41,0,0
136,2960,514,408,2038,3848,5.88,6.11,2.8,0
101,3070,591,388,1680,3420,6.12,7.11,0,0.04
42,502,86,70,422,880,0.6,7.06,0,0
36,1212,222,160,582,1978,0.42,7.01,0,0.38
20,1050,228,117,452,1642,0.4,7.18,0,0.22
18,432,124,30,220,719,1.4,7.8,0,0.04
42,294,75,26,148,580,0.14,7.24,0,0.1
58,398,130,18,80,624,1.42,7.7,0,1.44
18,404,78,51,140,680,0.44,7.48,0,0.04
20,546,120,60,410,937,1.3,8.2,0,0.8
24,626,162,54,320,902,1.9,7.9,0,0
81,310,91,20,244,698,0.74,6.89,0,0.36
34,1446,336,148,360,2148,0.38,7.01,0,0.52
52,1348,270,164,808,2575.02,0.93,7.59,0,0.22
54,372,100,30,150,688,1.3,8.3,0,0
10,124,30,12,100,300,2.3,7.01,0,0.36
17,583,148,52,160,740,1.4,6.52,0,0.1
28,514,102,63,240,812,1.39,6.9,0.18,0
10,98,28,7,60,248,1.2,7.1,0.04,0.08
22,1074,216,130,356,1600,2.96,7.72,0,1.26
80,620,140,66,242,1030,1.42,6.07,0.02,1.15
40,458,98,52,230,870,0.8,7.42,0,0
12,172,44,15,50,370,2.2,8.1,0,0
86,716,152,82,410,1560,1.27,7.92,0,0.27
114,840,142,118,600,1610,0.66,7.97,0,0.22
344,1242,234,160,710,2300,0.8,7.96,0,0.2
104,738,128,102,304,970,0.4,7.79,0,0.2
58,590,128,66,440,920,0.61,5.12,0,0
54,406,100,38,240,740,2.1,6.16,0.02,0
16,322,88,25,172,510,1.38,6.4,0,0
164,2996,522,412,2120,4010,5.92,6.11,2.86,0
